StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,practice trial 1,practice trial 2,lawyer-male,lawyer-female,lawyer-neutral,doctor-male,doctor-female,doctor-neutral,student-male,student-female_1,student-neutral,model-male,model-female,model-neutral,singer-male,singer-female,singer-neutral,phd-male,phd-female,phd-neutral,baker-male,baker-female,baker-neutral,salesman-male,salesman-female,salesman-neutral,nurse-male,nurse-female,nurse-neutral,wireman-male,wireman-female,wireman-neutral,photographer-male,photographer-female,photographer-neutral,athlete-male,athlete-female,athlete-neutral,filler 1,filler 2,filler 3,filler 4,filler 5,filler 6,filler 7,filler 8,filler 9,filler 10,filler 11,filler 12,filler 13,filler 14,filler 15,filler 16,filler 17,filler 18,filler 19,filler 20,filler 21,filler 22,filler 23,filler 24,性别,语言,学习阶段,年级,年级,询问
2022-07-03 01:53:39,2022-07-03 02:02:41,IP Address,116.169.5.252,100,542,True,2022-07-03 02:02:41,R_W3w5OxquMKWuwRX,,,,,30.6498,104.0555,anonymous,ZH-S,花园,有,,,他,,,他,他,,,,,他,他,,,他,,,,她,,他,,,,,她,,她,,他,,,他,,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,中文，英文,小学阶段,小学四年级,,看不出来
2022-07-03 01:34:58,2022-07-03 02:04:56,IP Address,222.210.45.72,100,1798,True,2022-07-03 02:04:56,R_cNHn06BntBfhOKd,,,,,30.6498,104.0555,anonymous,ZH-S,花环,有,他,,,,她,,,,他,,她,,他,,,他,,,,,他,他,,,,她,,,,他,他,,,,她,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,画眉,水果,也,七,北,少年,红,似,儿童,男,中文，英语,小学阶段,小学四年级,,对中文汉字理解
2022-07-03 02:02:10,2022-07-03 02:10:57,IP Address,110.188.57.245,100,526,True,2022-07-03 02:10:57,R_Zgx8G0nLh65k1MJ,,,,,30.6498,104.0555,anonymous,ZH-S,花园,有,,,说她,,她,,,她,,,她,,他,,,,,他,他,,,,,他,,,她,他,,,,她,,,,他,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,似,儿童,女,中文 英语,小学阶段,小学三年级,,不知
2022-07-03 02:11:44,2022-07-03 02:17:13,IP Address,125.70.95.151,100,328,True,2022-07-03 02:17:14,R_1C9l6isKRR9ykg0,,,,,30.6498,104.0555,anonymous,ZH-S,花园,有,,她,,,,他,,,他,,,他,,,她,,她,,,她,,他,,,他,,,,,他,,,他,他,,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,他,着,写生,光,许多,梅花,水果,也,七,北,少年,红,似,儿童,女,汉语,小学阶段,小学五年级,,性别
2022-07-03 02:21:15,2022-07-03 02:29:27,IP Address,222.129.239.134,100,492,True,2022-07-03 02:29:27,R_0881Sv3rP9vzANr,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,他,,,,她,,他,,,他,,,,她,,他,,,,,他,,,他,,她,,,她,,他,,,,,他,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,汉语、英语,高中阶段,,高中二年级,代词 副词
2022-07-03 05:20:33,2022-07-03 05:25:32,IP Address,1.203.85.182,100,298,True,2022-07-03 05:25:32,R_3nOG2sPYLh2eAC2,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,他,,,他,,,,她,,,,他,他,,,,,他,他,,,,她,,他,,,,,她,,她,,,,他,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,中文，英语，日语,高中阶段,,高中三年级,语言水平
2022-07-03 05:20:44,2022-07-03 05:26:11,IP Address,124.64.122.36,100,327,True,2022-07-03 05:26:12,R_1Hhpvz7sZTSgqje,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,她,,,她,,他,,,他,,,他,,,他,,,他,,,,她,,,,她,,她,,,,他,他,,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,中英法,高中阶段,,高中二年级,汉语水平？性别职业刻板？好神奇的问卷不知道
2022-07-03 05:21:59,2022-07-03 05:26:59,IP Address,223.72.130.70,100,299,True,2022-07-03 05:26:59,R_uwstvQM4uFfJ2iR,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,他,,,,,他,,,他,,,他,,,他,,她,,,她,,他,,,,她,,,,他,,,他,他,,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,中文，英语，德语,高中阶段,,高中一年级,中国语文义务教育成果
2022-07-03 05:23:53,2022-07-03 05:28:19,IP Address,120.245.96.130,100,266,True,2022-07-03 05:28:19,R_cIptBYbQzMDsXpT,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,她,,,,她,,她,,,她,,,,她,,,她,他,,,他,,,,她,,他,,,,她,,,她,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,非二元性别/第三性别,中文 English 日本語,高中阶段,,高中二年级,中文母语者对中文的使用
2022-07-03 05:21:55,2022-07-03 05:28:43,IP Address,223.72.93.140,100,408,True,2022-07-03 05:28:44,R_3LdI8B4xldO41vl,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,,他,他,,,,她,,,她,,,她,,,,他,,,他,,,他,,,他,他,,,他,,,,她,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写真,光,许多,梅花,果汁,也,七,北,少年,红,是,儿童,女,中文、英语,高中阶段,,高中一年级,中国人口受教育水平；义务教育阶段教育水平；有没有性别刻板印象
2022-07-03 05:24:55,2022-07-03 05:31:11,IP Address,111.202.167.81,100,375,True,2022-07-03 05:31:12,R_1mVmcdp5HG3Dyqg,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,她,,他,,,,,他,他,,,,她,,,她,,,她,,,,他,他,,,,她,,,她,,他,,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,似,儿童,女,汉语,小学阶段,小学三年级,,汉语拼音
2022-07-03 05:38:26,2022-07-03 05:42:32,IP Address,114.254.2.46,100,246,True,2022-07-03 05:42:32,R_tDiWzPqAo90uzgB,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,她,,,她,,他,,,,,她,,她,,,,他,,,他（她）,,她,,,她,,他,,,,,她（他）,,她,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,中文,高中阶段,,高中二年级,拼音水平
2022-07-03 05:36:36,2022-07-03 05:42:35,IP Address,123.112.160.143,100,359,True,2022-07-03 05:42:36,R_1pR1hriOJI2UjSP,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,,她,,,她,,,他,,她,,,,他,,她,,,她,,,,他,,,她,,她,,,她,,,,她,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,男,普通话,高中阶段,,高中二年级,人们潜意识下由环境因素诱导的刻板印象
2022-07-03 05:40:05,2022-07-03 05:43:38,IP Address,103.232.212.200,100,213,True,2022-07-03 05:43:39,R_1pzp87QwhzyA0vn,,,,,22.2578,114.1657,anonymous,ZH-S,花园,有,,,他,,她,,,她,,他,,,,她,,,她,,他,,,他,,,他,,,,,他,,,他,他,,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,中文，英文,高中阶段,,高中一年级,关于性别刻板印象
2022-07-03 05:41:06,2022-07-03 05:43:48,IP Address,123.116.218.83,100,161,True,2022-07-03 05:43:48,R_SSFbOzwmPYkafS1,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,他,,,他,,,,,他,他,,,,她,,他,,,他,,,,,他,,,她,,她,,,她,,,她,,行幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,汉语，英语,高中阶段,,高中二年级,
2022-07-03 05:34:49,2022-07-03 05:43:59,IP Address,120.244.166.22,100,550,True,2022-07-03 05:43:59,R_12rUdZC8VmsTQQ5,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,,他,,她,,他,,,他,,,他,,,他,,,,,他,他,,,他,,,,,他,他,,,,她,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,中/英,高中阶段,,高中二年级,语境对我们正确理解一句残缺的话有帮助？语境能够帮助我们正确地联想出语句中缺失的成分？或者是一些我不太能说清楚的性别问题在日常阅读和书面表达中的影响和体现？感觉很无厘头诶 但是很有趣kkk
2022-07-03 05:41:14,2022-07-03 05:47:02,IP Address,223.72.73.112,100,348,True,2022-07-03 05:47:02,R_1QfsZstyjNSF2eI,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,她,,,,她/他,,,她/它/他,,,她/他,她/他,,,,,她/他,,她,,,,他/她,,她,,,,他/她,他,,,,,他/他/它,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,疑,儿童,男,中文.    English    American   俄语    德语     法语  日本の语,高中阶段,,高中一年级,不同阶段的人的文化水平是否匹配     《中国人失掉自信力了吗？》
2022-07-03 05:42:54,2022-07-03 05:47:51,IP Address,111.201.95.61,100,297,True,2022-07-03 05:47:52,R_ZBMVhgBemSDJXIB,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,他,,,他,,,,她,,,,她,,,她,,她,,,,他,,她,,他,,,他,,,他,,,,她,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,中文，英文，一点点西班牙文,高中阶段,,高中二年级,对于同音文字使用环境的辨析，或者是根据语境和拼音选择最恰当的词语
2022-07-03 05:29:54,2022-07-03 05:48:05,IP Address,122.115.234.123,100,1090,True,2022-07-03 05:48:05,R_3fHr143zgQgC9Ta,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,他,,,,她,,,她,,,她,,他,,,,,他,,她,,,她,,,,他,,她,,,,他,,,他,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,英语和中文,小学阶段,小学六年级,,拼音普及情况？
2022-07-03 05:44:21,2022-07-03 05:49:11,IP Address,1.203.173.222,100,290,True,2022-07-03 05:49:11,R_3P7ws2tiyJ2VNrR,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,他,,,,他,他,,,,她,,,,他,他,,,他,,,他,,,,,她,他,,,,她,,他,,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,汉语 英语,高中阶段,,高中一年级,中文水平
2022-07-03 05:46:30,2022-07-03 05:51:07,IP Address,221.223.98.105,100,277,True,2022-07-03 05:51:08,R_2uTLu5g5kpSQoll,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,他,,,,她,,,,他,,她,,他,,,,,他,,她,,,她,,,她,,,她,,,,他,,,他,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,似,儿童,女,中文，英语,高中阶段,,高中二年级,中文水平
2022-07-03 05:48:27,2022-07-03 05:51:50,IP Address,123.119.73.196,100,202,True,2022-07-03 05:51:50,R_1rGNr8kASDouNi0,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,,他,,,他,他,,,,她,,,她,,,她,,,,他,,,他,,,她,,,他,他,,,他,,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,汉语/英语,高中阶段,,高中二年级,中文水平
2022-07-03 05:48:58,2022-07-03 05:52:44,IP Address,14.150.35.221,100,225,True,2022-07-03 05:52:44,R_3hn083GtsSUz77N,,,,,23.7425,114.6992,anonymous,ZH-S,花园,有,他,,,,她,,,她,,他,,,,她,,他,,,,她,,他,,,他,,,他,,,,她,,他,,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,中文/英语,小学阶段,小学六年级,,人均知识水平，不知道，人类的无聊程度吧。
2022-07-03 05:48:18,2022-07-03 05:52:51,IP Address,223.104.41.46,100,273,True,2022-07-03 05:52:51,R_30dUwDxevg7A4l1,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,,他,,,他,,她,,他,,,他,,,他,,,他,,,,,他,他,,,,,他,,,他,,她,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,中文 英语 一点点韩语和日语,高中阶段,,高中一年级,研究人们对中文的认知程度 或者一个人的耐心 我不确定
2022-07-03 05:50:48,2022-07-03 05:54:44,IP Address,124.64.18.9,100,236,True,2022-07-03 05:54:45,R_28UoC5kL2sb6iHG,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,她,,,她,,他,,,,,她,,她,,,她,,,,他,,,她,,她,,,她,,,,他,,她,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,男,中文 英文,高中阶段,,高中二年级,身为国人的基本中文水平
2022-07-03 05:50:51,2022-07-03 05:55:21,IP Address,124.64.16.6,100,269,True,2022-07-03 05:55:21,R_1N4C65k3YoeG1mh,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,她,,,,她,,,她,,她,,他,,,,她,,,,她,,她,,,,她,,,她,,她,,,,她,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,汉语，英语，法语,高中阶段,,高中二年级,性别刻板印象
2022-07-03 05:51:38,2022-07-03 05:55:44,IP Address,120.244.166.85,100,246,True,2022-07-03 05:55:44,R_vPrdJRQN5nkP5ol,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,,她/他,,,他/她,他,,,,,他/她,,,他/她,他,,,,她,,,她,,,,他/她,他,,,,,他/她,,,她/他,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,中文/意大利语/英语,高中阶段,,高中一年级,不知
2022-07-03 05:49:55,2022-07-03 05:55:59,IP Address,113.77.120.239,100,364,True,2022-07-03 05:56:00,R_22YyBbhTcBZHFxk,,,,,23.0177,113.7506,anonymous,ZH-S,花园,有,他,,,,她,,,她,,,,他,,她,,,她,,,她,,,她,,,,她,,,他,他,,,,她,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,鸿,是,儿童,女,英语 中文 粤语 俄语 泰语,高中阶段,,高中三年级,中文的流畅性
